City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (1hr),Snow (1hr)
0,Albany,US,2020-05-11 00:13:00,42.6,-73.97,54.0,51,98,4.94,overcast clouds,0.0,0.0
1,Saint Austell,GB,2020-05-11 00:15:04,50.34,-4.77,46.4,61,84,13.87,broken clouds,0.0,0.0
2,Punta Arenas,CL,2020-05-11 00:15:04,-53.15,-70.92,42.8,87,40,8.05,scattered clouds,0.0,0.0
3,Tasiilaq,GL,2020-05-11 00:15:05,65.61,-37.64,28.4,92,17,11.41,few clouds,0.0,0.0
4,Teguise,ES,2020-05-11 00:15:05,29.06,-13.56,68.0,68,20,12.75,few clouds,0.0,0.0
5,Castro,BR,2020-05-11 00:15:05,-24.79,-50.01,55.17,89,0,4.32,clear sky,0.0,0.0
6,Kodiak,US,2020-05-11 00:15:05,57.79,-152.41,46.4,87,90,4.7,overcast clouds,0.0,0.0
7,Nanortalik,GL,2020-05-11 00:15:05,60.14,-45.24,42.98,80,29,20.11,scattered clouds,0.0,0.0
8,Belmonte,BR,2020-05-11 00:15:05,-15.86,-38.88,69.8,77,20,4.7,few clouds,0.0,0.0
9,Chokurdakh,RU,2020-05-11 00:15:05,70.63,147.92,33.48,100,99,12.93,overcast clouds,0.0,0.0
10,Morro Bay,US,2020-05-11 00:15:05,35.37,-120.85,70.0,77,81,7.0,broken clouds,0.0,0.0
11,Kamaishi,JP,2020-05-11 00:15:05,39.27,141.88,64.4,63,40,10.29,shower rain,0.0,0.0
12,Tarakan,ID,2020-05-11 00:15:05,3.3,117.63,81.46,81,60,6.06,broken clouds,0.0,0.0
13,Kropotkin,RU,2020-05-11 00:15:05,45.44,40.58,50.0,85,66,13.02,broken clouds,0.0,0.0
14,Murwillumbah,AU,2020-05-11 00:15:05,-28.32,153.4,70.0,52,10,13.87,clear sky,0.0,0.0
15,Hermanus,ZA,2020-05-11 00:15:06,-34.42,19.23,54.0,94,0,3.65,clear sky,0.0,0.0
16,Arraial Do Cabo,BR,2020-05-11 00:15:06,-22.97,-42.03,72.32,67,0,21.83,clear sky,0.0,0.0
17,Tiksi,RU,2020-05-11 00:15:06,71.69,128.87,26.19,98,97,8.72,overcast clouds,0.0,0.0
18,Busselton,AU,2020-05-11 00:15:06,-33.65,115.33,52.0,75,66,3.31,broken clouds,0.0,0.0
19,Paracatu,BR,2020-05-11 00:15:06,-17.22,-46.87,61.12,85,17,2.71,few clouds,0.0,0.0
20,Mataura,NZ,2020-05-11 00:15:06,-46.19,168.86,55.67,65,80,1.3,broken clouds,0.0,0.0
21,Vila Do Maio,CV,2020-05-11 00:15:06,15.13,-23.22,71.6,78,20,17.22,few clouds,0.0,0.0
22,Puerto Ayora,EC,2020-05-11 00:15:06,-0.74,-90.35,75.99,93,21,5.99,few clouds,0.0,0.0
23,Vila Velha,BR,2020-05-11 00:11:13,-20.33,-40.29,71.6,78,75,3.36,broken clouds,0.0,0.0
24,Rikitea,PF,2020-05-11 00:15:06,-23.12,-134.97,75.07,80,22,8.68,few clouds,0.0,0.0
25,Severo-Kurilsk,RU,2020-05-11 00:15:06,50.68,156.12,35.29,84,75,2.66,broken clouds,0.0,0.0
26,Stornoway,GB,2020-05-11 00:15:07,58.21,-6.39,37.99,74,73,5.82,broken clouds,0.0,0.0
27,Norman Wells,CA,2020-05-11 00:15:07,65.28,-126.83,59.0,38,40,12.75,scattered clouds,0.0,0.0
28,Port Alfred,ZA,2020-05-11 00:15:07,-33.59,26.89,68.0,47,0,8.21,clear sky,0.0,0.0
29,Walvis Bay,NA,2020-05-11 00:15:07,-22.96,14.51,78.35,25,20,9.89,few clouds,0.0,0.0
30,Luau,AO,2020-05-11 00:15:07,-10.71,22.22,62.74,74,61,3.83,broken clouds,0.0,0.0
31,Paamiut,GL,2020-05-11 00:15:07,61.99,-49.67,43.09,78,79,24.52,broken clouds,0.0,0.0
32,Qaqortoq,GL,2020-05-11 00:15:07,60.72,-46.03,48.2,57,49,4.7,scattered clouds,0.0,0.0
33,Mount Isa,AU,2020-05-11 00:15:07,-20.73,139.5,64.4,25,0,12.75,clear sky,0.0,0.0
34,Cidreira,BR,2020-05-11 00:15:07,-30.18,-50.21,66.61,70,100,11.07,overcast clouds,0.0,0.0
35,Havoysund,NO,2020-05-11 00:15:07,71.0,24.66,28.4,79,14,2.24,few clouds,0.0,0.0
36,Khatanga,RU,2020-05-11 00:15:07,71.97,102.5,29.14,98,93,6.11,overcast clouds,0.0,0.0
37,Carnarvon,AU,2020-05-11 00:15:07,-24.87,113.63,71.83,56,11,5.82,few clouds,0.0,0.0
38,Piacabucu,BR,2020-05-11 00:15:08,-10.41,-36.43,77.16,85,98,6.58,overcast clouds,0.0,0.0
39,Lorengau,PG,2020-05-11 00:15:08,-2.02,147.27,86.47,73,16,8.86,few clouds,0.0,0.0
40,Rio Gallegos,AR,2020-05-11 00:15:08,-51.62,-69.22,44.6,81,75,12.75,light rain,0.0,0.0
41,Bluff,NZ,2020-05-11 00:10:38,-46.6,168.33,53.94,73,99,3.11,overcast clouds,0.0,0.0
42,Jamestown,US,2020-05-11 00:15:08,42.1,-79.24,53.01,50,90,8.05,overcast clouds,0.0,0.0
43,Kapaa,US,2020-05-11 00:15:08,22.08,-159.32,78.8,69,40,17.22,scattered clouds,0.0,0.0
44,Bosilegrad,RS,2020-05-11 00:15:08,42.5,22.47,54.99,79,99,0.63,overcast clouds,0.0,0.0
45,Cherskiy,RU,2020-05-11 00:15:08,68.75,161.3,41.63,66,5,20.02,clear sky,0.0,0.0
46,Bethel,US,2020-05-11 00:15:08,41.37,-73.41,59.0,30,1,10.29,clear sky,0.0,0.0
47,Mar Del Plata,AR,2020-05-11 00:11:38,-38.0,-57.56,59.0,81,30,6.93,scattered clouds,0.0,0.0
48,Samarai,PG,2020-05-11 00:15:09,-10.62,150.67,80.76,80,52,11.7,broken clouds,0.0,0.0
49,Byron Bay,AU,2020-05-11 00:15:09,-28.65,153.62,64.0,51,34,11.41,scattered clouds,0.0,0.0
50,Sangrur,IN,2020-05-11 00:15:09,30.23,75.83,82.31,37,0,7.05,clear sky,0.0,0.0
51,Kruisfontein,ZA,2020-05-11 00:15:09,-34.0,24.73,59.49,52,0,3.62,clear sky,0.0,0.0
52,Torbay,CA,2020-05-11 00:15:09,47.67,-52.73,37.99,80,75,26.4,broken clouds,0.0,0.0
53,Dauphin,CA,2020-05-11 00:15:09,51.15,-100.05,39.2,29,1,20.8,clear sky,0.0,0.0
54,Juba,SS,2020-05-11 00:13:06,4.85,31.58,74.66,83,96,3.91,overcast clouds,0.0,0.0
55,Fond Du Lac,US,2020-05-11 00:15:09,43.77,-88.44,42.8,56,90,13.87,overcast clouds,0.0,0.0
56,Cape Town,ZA,2020-05-11 00:11:19,-33.93,18.42,62.01,93,0,9.17,clear sky,0.0,0.0
57,Ostrovnoy,RU,2020-05-11 00:15:10,68.05,39.51,31.78,96,100,19.57,overcast clouds,0.0,0.0
58,Deputatskiy,RU,2020-05-11 00:15:10,69.3,139.9,27.16,96,96,6.58,overcast clouds,0.0,0.0
59,Broome,US,2020-05-11 00:15:10,42.25,-75.83,53.01,40,90,3.47,overcast clouds,0.0,0.0
60,Escarcega,MX,2020-05-11 00:15:10,18.61,-90.75,82.29,61,28,7.05,scattered clouds,0.0,0.0
61,Suna,RU,2020-05-11 00:15:10,57.83,50.06,47.52,90,3,7.0,clear sky,0.0,0.0
62,Clyde River,CA,2020-05-11 00:15:10,70.47,-68.59,14.0,78,90,2.24,overcast clouds,0.0,0.0
63,Chuy,UY,2020-05-11 00:15:10,-33.7,-53.46,63.57,78,0,8.57,clear sky,0.0,0.0
64,Jamkhed,IN,2020-05-11 00:15:10,18.74,75.31,79.63,45,14,5.14,few clouds,0.0,0.0
65,Hithadhoo,MV,2020-05-11 00:15:10,-0.6,73.08,85.24,77,99,13.02,overcast clouds,0.0,0.0
66,Ushuaia,AR,2020-05-11 00:11:06,-54.8,-68.3,42.8,87,75,11.41,broken clouds,0.0,0.0
67,Moranbah,AU,2020-05-11 00:15:11,-22.0,148.05,67.37,35,36,17.78,scattered clouds,0.0,0.0
68,Okhotsk,RU,2020-05-11 00:15:11,59.38,143.3,43.56,62,86,9.01,overcast clouds,0.0,0.0
69,Amatitan,MX,2020-05-11 00:15:11,20.83,-103.72,84.99,21,0,11.99,clear sky,0.0,0.0
70,Qaanaaq,GL,2020-05-11 00:15:11,77.48,-69.36,8.04,82,0,2.57,clear sky,0.0,0.0
71,Nikolskoye,RU,2020-05-11 00:15:11,59.7,30.79,44.6,52,52,8.95,broken clouds,0.0,0.0
72,Pandan,PH,2020-05-11 00:15:11,14.05,124.17,84.52,74,86,7.36,overcast clouds,0.0,0.0
73,Bengkulu,ID,2020-05-11 00:15:11,-3.8,102.27,76.78,88,91,4.14,overcast clouds,0.0,0.0
74,Saskylakh,RU,2020-05-11 00:15:11,71.92,114.08,20.23,96,67,10.67,broken clouds,0.0,0.0
75,Ilulissat,GL,2020-05-11 00:15:11,69.22,-51.1,32.0,96,100,8.05,overcast clouds,0.0,0.0
76,Kavieng,PG,2020-05-11 00:15:11,-2.57,150.8,86.13,73,30,11.14,scattered clouds,0.0,0.0
77,Tombouctou,ML,2020-05-11 00:15:12,20.0,-3.0,91.29,11,43,9.62,scattered clouds,0.0,0.0
78,Atuona,PF,2020-05-11 00:15:12,-9.8,-139.03,81.19,78,19,13.85,few clouds,0.0,0.0
79,Dikson,RU,2020-05-11 00:15:12,73.51,80.55,21.36,98,1,10.56,clear sky,0.0,0.0
80,Ketchikan,US,2020-05-11 00:15:12,55.34,-131.65,71.6,19,1,18.34,clear sky,0.0,0.0
81,Pingshan,CN,2020-05-11 00:15:12,22.99,114.71,82.45,74,90,0.81,light rain,0.69,0.0
82,Pisco,PE,2020-05-11 00:15:12,-13.7,-76.22,68.0,77,5,16.11,clear sky,0.0,0.0
83,Sinnamary,GF,2020-05-11 00:15:12,5.38,-52.95,78.1,91,98,13.44,light rain,0.19,0.0
84,Georgetown,MY,2020-05-11 00:15:12,5.41,100.34,78.8,94,20,4.94,thunderstorm,0.0,0.0
85,Thompson,CA,2020-05-11 00:14:47,55.74,-97.86,32.0,88,5,11.41,clear sky,0.0,0.0
86,Petropavlovsk-Kamchatskiy,RU,2020-05-11 00:15:12,53.05,158.65,44.6,42,0,20.13,clear sky,0.0,0.0
87,Quatre Cocos,MU,2020-05-11 00:15:13,-20.21,57.76,71.6,56,40,9.17,scattered clouds,0.0,0.0
88,Lompoc,US,2020-05-11 00:14:49,34.64,-120.46,63.0,82,90,4.7,overcast clouds,0.0,0.0
89,Rawson,AR,2020-05-11 00:15:13,-43.3,-65.1,53.6,57,80,29.48,broken clouds,0.0,0.0
90,Cabo San Lucas,MX,2020-05-11 00:15:13,22.89,-109.91,89.01,15,40,13.87,scattered clouds,0.0,0.0
91,Faanui,PF,2020-05-11 00:15:13,-16.48,-151.75,81.73,77,93,8.43,overcast clouds,0.0,0.0
92,Mehamn,NO,2020-05-11 00:15:13,71.04,27.85,32.38,92,89,8.59,overcast clouds,0.0,0.0
93,Labuhan,ID,2020-05-11 00:15:13,-6.88,112.21,80.56,85,65,8.3,light rain,0.17,0.0
94,Kamenka,RU,2020-05-11 00:15:13,51.32,42.77,50.0,94,99,10.0,light rain,0.17,0.0
95,New Norfolk,AU,2020-05-11 00:15:13,-42.78,147.06,53.01,88,86,3.87,light rain,0.23,0.0
96,Lodwar,KE,2020-05-11 00:15:14,3.12,35.6,83.41,56,3,16.37,clear sky,0.0,0.0
97,Naze,JP,2020-05-11 00:15:14,28.37,129.48,71.6,88,75,5.82,broken clouds,0.0,0.0
98,Necochea,AR,2020-05-11 00:15:14,-38.55,-58.74,56.88,49,24,11.54,few clouds,0.0,0.0
99,Fairbanks,US,2020-05-11 00:15:14,64.84,-147.72,82.0,18,1,14.99,clear sky,0.0,0.0
100,Umtata,ZA,2020-05-11 00:15:14,-31.59,28.78,51.8,81,0,5.06,clear sky,0.0,0.0
101,Caravelas,BR,2020-05-11 00:15:14,-17.71,-39.25,70.68,73,7,5.97,clear sky,0.0,0.0
102,Bredasdorp,ZA,2020-05-11 00:15:14,-34.53,20.04,59.0,93,0,1.12,clear sky,0.0,0.0
103,Sao Filipe,CV,2020-05-11 00:15:14,14.9,-24.5,72.84,77,33,7.11,scattered clouds,0.0,0.0
104,Touros,BR,2020-05-11 00:15:14,-5.2,-35.46,77.0,94,20,3.36,few clouds,0.0,0.0
105,Rocha,UY,2020-05-11 00:15:14,-34.48,-54.33,62.19,79,0,9.35,clear sky,0.0,0.0
106,Wajima,JP,2020-05-11 00:15:14,37.4,136.9,57.2,100,90,16.11,drizzle,0.0,0.0
107,Lebu,CL,2020-05-11 00:15:15,-37.62,-73.65,53.11,82,15,4.88,few clouds,0.0,0.0
108,Pevek,RU,2020-05-11 00:15:15,69.7,170.31,36.81,81,4,16.49,clear sky,0.0,0.0
109,Hobart,AU,2020-05-11 00:15:01,-42.88,147.33,53.01,71,75,10.29,broken clouds,0.0,0.0
110,Kaeo,NZ,2020-05-11 00:15:15,-35.1,173.78,64.99,23,84,7.0,broken clouds,0.0,0.0
111,Aykhal,RU,2020-05-11 00:15:15,66.0,111.5,26.6,73,90,11.18,overcast clouds,0.0,0.0
112,Vardo,NO,2020-05-11 00:15:15,70.37,31.11,33.21,97,100,27.67,snow,0.0,1.37
113,Kaitangata,NZ,2020-05-11 00:15:15,-46.28,169.85,55.99,62,39,4.0,scattered clouds,0.0,0.0
114,Perth,AU,2020-05-11 00:13:25,-31.93,115.83,41.0,100,2,6.17,clear sky,0.0,0.0
115,Yellowknife,CA,2020-05-11 00:13:39,62.46,-114.35,39.2,44,40,9.17,scattered clouds,0.0,0.0
116,Codrington,AU,2020-05-11 00:15:15,-38.27,141.97,54.77,78,23,12.17,few clouds,0.0,0.0
117,Jalu,LY,2020-05-11 00:15:15,29.03,21.55,73.06,18,0,9.91,clear sky,0.0,0.0
118,Novoagansk,RU,2020-05-11 00:15:16,61.94,76.66,61.18,52,100,6.69,overcast clouds,0.0,0.0
119,Bambous Virieux,MU,2020-05-11 00:15:16,-20.34,57.76,71.6,56,40,9.17,scattered clouds,0.0,0.0
120,Sennoy,RU,2020-05-11 00:15:16,52.15,46.96,47.39,87,0,8.84,clear sky,0.0,0.0
121,Barrow,US,2020-05-11 00:15:16,71.29,-156.79,35.6,74,1,4.7,clear sky,0.0,0.0
122,Berlevag,NO,2020-05-11 00:15:16,70.86,29.09,35.13,85,99,17.38,light snow,0.0,0.16
