City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,54.0,overcast clouds,42.6,-73.97,
4,Teguise,ES,68.0,few clouds,29.06,-13.56,B&B La Casona de Nazaret
5,Castro,BR,55.17,clear sky,-24.79,-50.01,CHACARA BAILLY
8,Belmonte,BR,69.8,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
10,Morro Bay,US,70.0,broken clouds,35.37,-120.85,Inn at Morro Bay
11,Kamaishi,JP,64.4,shower rain,39.27,141.88,Hotel Route Inn Kamaishi
12,Tarakan,ID,81.46,broken clouds,3.3,117.63,Hotel D' CaLia Tarakan
13,Kropotkin,RU,50.0,broken clouds,45.44,40.58,Hotel Europe Kropotkin
14,Murwillumbah,AU,70.0,clear sky,-28.32,153.4,Murwillumbah Motor Inn
15,Hermanus,ZA,54.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
16,Arraial Do Cabo,BR,72.32,clear sky,-22.97,-42.03,Pousada Porto Praia
18,Busselton,AU,52.0,broken clouds,-33.65,115.33,Observatory Guest House
19,Paracatu,BR,61.12,few clouds,-17.22,-46.87,Hotel Paracatu Plaza
20,Mataura,NZ,55.67,broken clouds,-46.19,168.86,Ellie's Villa
21,Vila Do Maio,CV,71.6,few clouds,15.13,-23.22,Residence 'I Delfini'
22,Puerto Ayora,EC,75.99,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
23,Vila Velha,BR,71.6,broken clouds,-20.33,-40.29,Hotel Vitória Palace
24,Rikitea,PF,75.07,few clouds,-23.12,-134.97,Pension Maro'i
27,Norman Wells,CA,59.0,scattered clouds,65.28,-126.83,Heritage Hotel
28,Port Alfred,ZA,68.0,clear sky,-33.59,26.89,The Halyards Hotel
30,Luau,AO,62.74,broken clouds,-10.71,22.22,Kimbo Hotel
33,Mount Isa,AU,64.4,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
34,Cidreira,BR,66.61,overcast clouds,-30.18,-50.21,Novomar Pousada e Turismo Ltda
37,Carnarvon,AU,71.83,few clouds,-24.87,113.63,Hospitality Carnarvon
38,Piacabucu,BR,77.16,overcast clouds,-10.41,-36.43,Piaçabuçu News
39,Lorengau,PG,86.47,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
