City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2020-05-08 18:57:26,-34.42,19.23,64.99,75,0,9.8
1,New Norfolk,AU,2020-05-08 18:57:26,-42.78,147.06,48.99,81,100,1.23
2,Atuona,PF,2020-05-08 18:57:26,-9.8,-139.03,81.28,74,67,17.63
3,Bluff,NZ,2020-05-08 18:57:26,-46.6,168.33,50.95,78,61,13.0
4,Canberra,AU,2020-05-08 18:57:18,-35.28,149.13,52.0,100,40,2.24
5,Torbay,CA,2020-05-08 18:57:26,47.67,-52.73,44.01,86,75,27.51
6,Padang,ID,2020-05-08 18:57:26,-0.95,100.35,79.45,74,100,4.09
7,Forestville,US,2020-05-08 18:52:28,38.85,-76.88,64.99,42,20,11.41
8,Puerto Baquerizo Moreno,EC,2020-05-08 18:57:27,-0.9,-89.6,84.2,74,40,8.05
9,Dhola,IN,2020-05-08 18:57:27,21.88,71.78,86.63,45,0,10.4
10,Ushuaia,AR,2020-05-08 18:57:27,-54.8,-68.3,42.8,100,83,4.7
11,Bathsheba,BB,2020-05-08 18:57:27,13.22,-59.52,87.8,58,20,20.8
12,Lebu,CL,2020-05-08 18:57:27,-37.62,-73.65,61.99,77,100,15.3
13,Punta Arenas,CL,2020-05-08 18:57:27,-53.15,-70.92,53.6,66,98,9.17
14,Port Alfred,ZA,2020-05-08 18:57:27,-33.59,26.89,64.99,96,8,4.43
15,Stornoway,GB,2020-05-08 18:57:27,58.21,-6.39,48.99,93,100,5.82
16,Vila Velha,BR,2020-05-08 18:57:27,-20.33,-40.29,75.2,57,40,16.11
17,Rzhev,RU,2020-05-08 18:57:27,56.26,34.33,45.37,66,87,4.54
18,Longyearbyen,SJ,2020-05-08 18:57:27,78.22,15.64,26.6,73,75,5.82
19,Faanui,PF,2020-05-08 18:57:27,-16.48,-151.75,82.09,78,100,14.2
20,Japura,ID,2020-05-08 18:57:27,-0.32,102.35,74.62,95,100,0.94
21,Puerto Ayora,EC,2020-05-08 18:57:28,-0.74,-90.35,84.2,70,20,20.8
22,Vaini,TO,2020-05-08 18:57:28,-21.2,-175.2,78.8,94,75,10.29
23,Rikitea,PF,2020-05-08 18:57:28,-23.12,-134.97,75.76,71,29,8.46
24,Saskylakh,RU,2020-05-08 18:57:28,71.92,114.08,-2.34,92,71,2.08
25,Urbano Santos,BR,2020-05-08 18:57:28,-3.21,-43.4,89.55,55,48,3.87
26,Taoudenni,ML,2020-05-08 18:57:28,22.68,-3.98,97.3,19,100,25.66
27,Provideniya,RU,2020-05-08 18:57:28,64.38,-173.3,36.09,80,100,17.72
28,Kavieng,PG,2020-05-08 18:57:28,-2.57,150.8,82.62,74,0,8.48
29,Dikson,RU,2020-05-08 18:57:28,73.51,80.55,28.8,97,100,24.81
30,Baruun-Urt,MN,2020-05-08 18:58:44,46.68,113.28,46.85,64,20,8.61
31,Timiryazevskiy,RU,2020-05-08 18:58:44,56.49,84.88,52.0,75,0,5.59
32,Sompeta,IN,2020-05-08 18:58:44,18.93,84.6,82.18,80,2,9.66
33,Dayal Bagh,IN,2020-05-08 18:58:44,27.22,78.02,93.51,17,0,6.6
34,Asosa,ET,2020-05-08 18:58:44,10.07,34.53,68.7,80,90,2.3
35,Mar Del Plata,AR,2020-05-08 18:58:44,-38.0,-57.56,62.6,59,100,20.8
36,Kahului,US,2020-05-08 18:58:44,20.89,-156.47,69.8,88,75,12.75
37,Orichi,RU,2020-05-08 18:58:44,58.4,49.06,56.1,92,100,3.31
38,Ust-Kuyga,RU,2020-05-08 18:58:44,70.02,135.6,25.79,97,100,1.01
39,Cam Ranh,VN,2020-05-08 18:58:44,11.92,109.16,86.0,89,20,11.41
40,Mount Darwin,ZW,2020-05-08 18:58:45,-16.77,31.58,61.3,70,0,3.89
41,San Juan Bautista,PE,2020-05-08 18:58:45,-14.01,-75.74,71.6,73,1,12.75
42,Gavle,SE,2020-05-08 18:58:45,60.67,17.14,51.01,46,53,1.99
43,Butaritari,KI,2020-05-08 18:58:45,3.07,172.79,82.42,75,100,3.49
44,Hobart,AU,2020-05-08 18:54:59,-42.88,147.33,53.6,81,90,3.36
45,Mahebourg,MU,2020-05-08 18:58:45,-20.41,57.7,73.4,94,20,4.7
46,Norman Wells,CA,2020-05-08 18:58:45,65.28,-126.83,39.2,60,5,12.75
47,Ardakan,IR,2020-05-08 18:58:45,32.31,54.02,77.0,9,0,4.7
48,Tuktoyaktuk,CA,2020-05-08 18:58:45,69.45,-133.04,21.2,79,5,16.11
49,Mataura,NZ,2020-05-08 18:58:45,-46.19,168.86,46.69,84,90,3.96
50,Yellowknife,CA,2020-05-08 18:55:23,62.46,-114.35,39.99,74,90,13.87
51,Guerrero Negro,MX,2020-05-08 18:58:46,27.98,-114.06,80.91,35,0,7.61
52,Ancud,CL,2020-05-08 18:58:46,-41.87,-73.82,57.99,100,90,16.11
53,Port Elizabeth,ZA,2020-05-08 18:58:46,-33.92,25.57,60.8,100,0,4.7
54,Saint-Philippe,RE,2020-05-08 18:58:46,-21.36,55.77,73.4,64,100,8.05
55,Kikwit,CD,2020-05-08 18:58:46,-5.04,18.82,75.13,89,100,1.01
56,Souillac,MU,2020-05-08 18:58:46,-20.52,57.52,73.4,94,20,4.7
57,Labuhan,ID,2020-05-08 18:58:46,-6.88,112.21,79.29,88,63,6.98
58,Cherskiy,RU,2020-05-08 18:58:46,68.75,161.3,28.22,93,0,5.88
59,Rio Grande,BR,2020-05-08 18:57:50,-32.03,-52.1,71.6,40,0,4.7
60,Castro,BR,2020-05-08 18:54:48,-24.79,-50.01,63.59,49,0,4.43
61,Laguna,US,2020-05-08 18:58:47,38.42,-121.42,84.2,28,1,3.36
62,Mount Gambier,AU,2020-05-08 18:58:47,-37.83,140.77,50.0,100,75,8.05
63,Vao,NC,2020-05-08 18:58:47,-22.67,167.48,73.13,78,41,23.24
64,Cape Town,ZA,2020-05-08 18:55:52,-33.93,18.42,66.99,93,0,9.17
65,Ngorongoro,TZ,2020-05-08 18:58:47,-3.24,35.49,53.47,100,61,6.08
66,Hays,US,2020-05-08 18:56:07,30.05,-98.03,75.99,59,99,15.99
67,Cayenne,GF,2020-05-08 18:58:47,4.93,-52.33,84.2,70,20,14.99
68,Canutama,BR,2020-05-08 18:58:47,-6.53,-64.38,86.94,54,68,3.15
69,Punuare,HN,2020-05-08 18:58:47,14.73,-85.97,90.48,43,100,4.65
70,Fukue,JP,2020-05-08 18:58:47,32.69,128.84,68.13,79,100,27.63
71,Turayf,SA,2020-05-08 18:58:48,31.67,38.66,78.8,24,0,10.29
72,Nantucket,US,2020-05-08 18:58:48,41.28,-70.1,54.0,57,20,11.41
73,Saint-Georges,GD,2020-05-08 18:58:48,12.06,-61.75,87.8,66,20,20.8
74,Nikolskoye,RU,2020-05-08 18:58:48,59.7,30.79,48.2,39,0,4.47
75,Jamestown,US,2020-05-08 18:56:30,42.1,-79.24,34.0,92,90,6.93
76,Ponta Do Sol,PT,2020-05-08 18:58:48,32.67,-17.1,69.8,68,20,14.99
77,Busselton,AU,2020-05-08 18:55:36,-33.65,115.33,46.0,67,1,6.04
78,Santarem,BR,2020-05-08 18:58:48,-2.44,-54.71,86.0,74,20,9.17
79,Hilo,US,2020-05-08 18:58:08,19.73,-155.09,75.2,64,90,4.54
80,Tura,IN,2020-05-08 18:58:48,25.52,90.22,74.52,41,0,3.47
81,Bulata,PH,2020-05-08 18:58:48,9.86,122.4,83.1,79,35,7.9
82,Nizwa,OM,2020-05-08 18:58:49,22.93,57.53,87.53,18,0,5.17
83,Suez,EG,2020-05-08 18:58:49,29.97,32.53,75.49,38,0,22.7
